2023-03-31 10:06:13,787 [Test worker] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [lv.javaguru.travel.insurance.core.repositories.ClassifierRepositoryTest], using SpringBootContextLoader
2023-03-31 10:06:13,802 [Test worker] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [lv.javaguru.travel.insurance.core.repositories.ClassifierRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-03-31 10:06:13,803 [Test worker] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [lv.javaguru.travel.insurance.core.repositories.ClassifierRepositoryTest]: ClassifierRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-03-31 10:06:14,011 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration lv.javaguru.travel.insurance.InsuranceApplication for test class lv.javaguru.travel.insurance.core.repositories.ClassifierRepositoryTest
2023-03-31 10:06:14,015 [Test worker] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-03-31 10:06:14,045 [Test worker] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@31500940, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1827a871, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@48e64352, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7249dadf, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4362d7df, org.springframework.test.context.support.DirtiesContextTestExecutionListener@66238be2, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1c25b8a7, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@200606de, org.springframework.test.context.event.EventPublishingTestExecutionListener@750fe12e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@f8908f6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3e587920, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2ef8a8c3, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@24f43aa3, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@63fd4873, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1e11bc55]
2023-03-31 10:06:14,593 [Test worker] INFO  l.j.j.i.c.r.ClassifierRepositoryTest - Starting ClassifierRepositoryTest using Java 18.0.2 on VSAVONINS with PID 19300 (started by admin in C:\javaguru\projects\java2-real-practice-with-mentor\teacher\step_85)
2023-03-31 10:06:14,594 [Test worker] INFO  l.j.j.i.c.r.ClassifierRepositoryTest - No active profile set, falling back to 1 default profile: "default"
2023-03-31 10:06:15,426 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-03-31 10:06:15,612 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 172 ms. Found 5 JPA repository interfaces.
2023-03-31 10:06:15,777 [Test worker] INFO  o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor - Replacing 'dataSource' DataSource bean with embedded version
